##,Word,Source,StopWord? ,,,,
1, has been ,mapping,Yes,,,last updated,2/8/2023
2, special setting  ,mapping,Yes,,,,
3,&,mapping,Yes,,,,
4,a,mapping,Yes,,,,
5,able,literature,Yes,,,,
6,adopted ,mapping,Yes,,,,
7,after,literature,Yes,,,,
8,again,PubMed,Yes,,,,
9,almost,PubMed,Yes,,,,
10,also,PubMed,Yes,,,,
11,always,PubMed,Yes,,,,
12,Anatomic Site,caDSR rep terms,Yes,,,,
13,and,literature,Yes,,,,
14,and/or,literature,Yes,,,,
15,apply,mapping,Yes,,,,
16,are,mapping,Yes,,,,
17,as a,mapping,Yes,,,,
18,at,mapping,Yes,,,,
19,at home,mapping,Yes,,,,
20,by,literature,Yes,,,,
21,can,PubMed,Yes,,,,
22,Consent for General and Linkage Research,mapping,Yes,,,,
23,consequence ,mapping,Yes,,,,
24,could,PubMed,Yes,,,,
25,current,mapping,Yes,,,,
26,Date,caDSR rep terms,Yes,,,,
27,Date and Time,caDSR rep terms,Yes,,,,
28,diagnosis,mapping,Yes,,,,
29,do you think ,mapping,Yes,,,,
30,done,PubMed,Yes,,,,
31,Dose,caDSR rep terms,Yes,,,,
32,due,PubMed,Yes,,,,
33,due to,literature,Yes,,,,
34,Due To ,mapping,Yes,,,,
35,effect,mapping,Yes,,,,
36,employs,mapping,Yes,,,,
37,especially,PubMed,Yes,,,,
38,etc,PubMed,Yes,,,,
39,except,literature,Yes,,,,
40,For each item:,mapping,Yes,,,,
41,form,mapping,Yes,,,,
42,found,PubMed,Yes,,,,
43,full,mapping,Yes,,,,
44,further,PubMed,Yes,,,,
45,get,mapping,Yes,,,,
46,here,PubMed,Yes,,,,
47,how,PubMed,Yes,,,,
48,how likely ,mapping,Yes,,,,
49,i,PubMed,Yes,,,,
50,if you,mapping,Yes,,,,
51,"include, including",mapping,Yes,,,,
52,indicator,mapping,Yes,,,,
53,it,PubMed,Yes,,,,
54,it is ,mapping,Yes,,,,
55,Item,mapping,Yes,,,,
56,its,PubMed,Yes,,,,
57,itself,PubMed,Yes,,,,
58,just,PubMed,Yes,,,,
59,keep house,mapping,Yes,,,,
60,"keep, keeping",mapping,Yes,,,,
61,kg,PubMed,Yes,,,,
62,km,PubMed,Yes,,,,
63,made,PubMed,Yes,,,,
64,mainly,PubMed,Yes,,,,
65,make,PubMed,Yes,,,,
66,may,PubMed,Yes,,,,
67,may be,mapping,Yes,,,,
68,mg,PubMed,Yes,,,,
69,might,PubMed,Yes,,,,
70,ml,PubMed,Yes,,,,
71,mm,PubMed,Yes,,,,
72,mostly,PubMed,Yes,,,,
73,must,PubMed,Yes,,,,
74,name,caDSR rep terms,Yes,,,,
75,nearly,PubMed,Yes,,,,
76,NOS,literature,Yes,,,,
77,not,literature,Yes,,,,
78,now,mapping,Yes,,,,
79,obtained,PubMed,Yes,,,,
80,Occurrence,mapping,Yes,,,,
81,of,,,,,,
82,OF,,,,,,
83,often,PubMed,Yes,,,,
84,on,mapping,Yes,,,,
85,or what,mapping,Yes,,,,
86,"Other Complication, Specify",mapping,Yes,,,,
87,other text,mapping,Yes,,,,
88,"Other, specify",mapping,Yes,,,,
89,our,PubMed,Yes,,,,
90,out,mapping,Yes,,,,
91,overall,PubMed,Yes,,,,
92,part,mapping,Yes,,,,
93,patient,mapping,Yes,,,,
94,perhaps,PubMed,Yes,,,,
95,person,mapping,Yes,,,,
96,pmid,PubMed,Yes,,,,
97,POLST,mapping,Yes,,,,
98,print,PhenX,Yes,,,,
99,print name,PhenX,Yes,,,,
100,QOL,mapping,Yes,,,,
101,quite,PubMed,Yes,,,,
102,rather,PubMed,Yes,,,,
103,really,PubMed,Yes,,,,
104,removal,literature,Yes,,,,
105,replacement,literature,Yes,,,,
106,SDOH,mapping,Yes,,,,
107,secondary to,literature,Yes,,,,
108,seem,PubMed,Yes,,,,
109,seen,PubMed,Yes,,,,
110,Select all that apply from the list below,mapping,Yes,,,,
111,should,PubMed,Yes,,,,
112,show,PubMed,Yes,,,,
113,showed,PubMed,Yes,,,,
114,shown,PubMed,Yes,,,,
115,shows,PubMed,Yes,,,,
116,significantly,PubMed,Yes,,,,
117,"Specific , Specified ",mapping,Yes,,,,
118,Specify Other,mapping,Yes,,,,
119,such as,mapping,Yes,,,,
120,that,mapping,Yes,,,,
121,the following,mapping,Yes,,,,
122,following ,mapping,Yes,,,,
123,The name that describes,mapping,Yes,,,,
124,The name that describes ,mapping,Yes,,,,
125,their,PubMed,Yes,,,,
126,theirs,PubMed,Yes,,,,
127,them,PubMed,Yes,,,,
128,then,PubMed,Yes,,,,
129,there,PubMed,Yes,,,,
130,they,PubMed,Yes,,,,
131,thus,PubMed,Yes,,,,
132,Unit of Measure,caDSR rep terms,Yes,,,,
133,US,mapping,Yes,,,,
134,various,PubMed,Yes,,,,
135,very,PubMed,Yes,,,,
136,very likely,mapping,Yes,,,,
137,"not too likely, or not at all likely",mapping,Yes,,,,
138, fairly likely,mapping,Yes,,,,
139,or not at all likely,mapping,Yes,,,,
140,we,PubMed,Yes,,,,
141,with,mapping,Yes,,,,
142,without,literature,Yes,,,,
143,would,PubMed,Yes,,,,
144,would you,mapping,Yes,,,,
145,"Would you say very easy, somewhat easy, or not easy at all?",mapping,Yes,,,,
146,"would you, you would",mapping,Yes,,,,
147,you now have,mapping,Yes,,,,
148,you will,mapping,Yes,,,,
149,you would,mapping,Yes,,,,
